City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sikonge,-5.6333,32.7667,66.63,74,19,2.91,TZ,1684189323
1,aasiaat,68.7098,-52.8699,29.43,75,100,8.3,GL,1684189323
2,alice springs,-23.7,133.8833,42.35,100,1,6.29,AU,1684189323
3,la passe,45.5549,-0.8967,55.63,94,100,13.51,FR,1684189323
4,adamstown,-25.066,-130.1015,75.56,85,1,21.59,PN,1684189324
5,laojunmiao,39.8333,97.7333,52.07,48,100,3.62,CN,1684189324
6,puerto ayora,-0.7393,-90.3518,85.96,86,79,5.99,EC,1684189324
7,qaqortoq,60.7167,-46.0333,41.0,67,97,10.8,GL,1684189324
8,am timan,11.0297,20.2827,93.0,24,15,4.5,TD,1684189325
9,nouadhibou,20.931,-17.0347,67.98,88,78,14.97,MR,1684189325
10,puerto deseado,-47.7503,-65.8938,60.01,55,100,19.62,AR,1684189325
11,tiksi,71.6872,128.8694,31.1,91,95,7.23,RU,1684189326
12,prado,-17.3411,-39.2208,74.82,84,9,4.59,BR,1684189327
13,ulladulla,-35.35,150.4667,53.74,73,0,5.57,AU,1684189327
14,quellon,-43.1167,-73.6167,55.65,94,100,8.05,CL,1684189327
15,whitehorse,60.7161,-135.0538,64.09,21,20,4.61,CA,1684189063
16,hami,42.8,93.45,63.28,39,74,10.0,CN,1684189328
17,arris,35.2588,6.3471,45.64,64,3,5.53,DZ,1684189328
18,fort morgan,40.2503,-103.8,62.28,67,100,5.75,US,1684189328
19,constantia,44.1833,28.65,57.88,79,100,11.25,RO,1684189329
20,dudinka,69.4058,86.1778,20.95,90,98,9.46,RU,1684189329
21,bredasdorp,-34.5322,20.0403,53.01,88,14,1.57,ZA,1684189329
22,bilibino,68.0546,166.4372,22.91,81,74,1.99,RU,1684189330
23,port alfred,-33.5906,26.891,57.79,79,10,6.33,ZA,1684189330
24,iqaluit,63.7506,-68.5145,32.7,64,100,25.99,CA,1684189330
25,the pas,53.8251,-101.2541,77.02,31,100,9.22,CA,1684189330
26,yellowknife,62.456,-114.3525,51.57,87,100,13.8,CA,1684189082
27,ataq,14.5377,46.8319,78.31,53,88,9.93,YE,1684189331
28,talnakh,69.4865,88.3972,18.18,92,92,7.47,RU,1684189331
29,port-aux-francais,-49.35,70.2167,42.06,74,53,28.05,TF,1684189331
30,barah,13.7,30.3667,85.68,10,0,12.66,SD,1684189331
31,al kharijah,25.4514,30.5464,78.69,15,57,6.4,EG,1684189332
32,jamestown,42.097,-79.2353,65.84,19,0,9.22,US,1684189275
33,nar'yan-mar,67.6713,53.087,32.2,98,74,4.38,RU,1684189332
34,miraflores de la sierra,40.8155,-3.7621,52.65,87,13,7.92,ES,1684189332
35,tsengel,49.4783,100.8894,35.11,96,100,3.56,MN,1684189332
36,grytviken,-54.2811,-36.5092,33.44,88,91,7.34,GS,1684189333
37,blackmans bay,-43.0167,147.3167,47.52,70,39,11.18,AU,1684189333
38,mbekenyera,-10.0,38.9833,68.86,93,30,2.77,TZ,1684189333
39,tura,25.5198,90.2201,68.74,94,0,4.83,IN,1684189333
40,yevlakh,40.6183,47.1501,53.55,83,89,0.72,AZ,1684189333
41,lihue,21.9789,-159.3672,79.84,62,100,13.8,US,1684189334
42,inirida,3.8653,-67.9239,78.71,95,86,2.24,CO,1684189279
43,olonkinbyen,70.9221,-8.7187,27.59,94,100,35.86,SJ,1684189334
44,invercargill,-46.4,168.35,47.01,95,32,3.0,NZ,1684189334
45,alofi,-19.0595,-169.9187,73.29,88,100,6.91,NU,1684189335
46,nemuro,43.3236,145.575,43.41,96,100,6.69,JP,1684189335
47,lebu,-37.6167,-73.65,57.38,79,95,13.78,CL,1684189206
48,longyearbyen,78.2186,15.6401,21.04,68,75,21.85,SJ,1684189335
49,nova sintra,14.8667,-24.7167,68.32,80,10,20.24,CV,1684189335
50,hawaiian paradise park,19.5933,-154.9731,77.04,79,100,1.01,US,1684189241
51,margaret river,-33.95,115.0667,54.57,82,34,5.37,AU,1684189336
52,waitangi,-43.9535,-176.5597,57.81,89,43,8.01,NZ,1684189336
53,nizhneudinsk,54.9076,99.0276,37.6,71,100,2.68,RU,1684189336
54,punta arenas,-53.15,-70.9167,44.71,76,0,4.61,CL,1684189318
55,casalecchio di reno,44.4756,11.2759,58.24,91,0,4.61,IT,1684189337
56,edinburgh of the seven seas,-37.0676,-12.3116,60.33,89,100,6.29,SH,1684189337
57,cidreira,-30.1811,-50.2056,65.34,76,61,8.52,BR,1684189337
58,wailua homesteads,22.0669,-159.378,79.23,63,100,13.8,US,1684189337
59,manokwari,-0.8667,134.0833,80.08,79,100,1.66,ID,1684189337
60,avarua,-21.2078,-159.775,78.85,73,40,4.61,CK,1684189338
61,bethel,41.3712,-73.414,75.36,31,0,9.22,US,1684189338
62,brezina,33.0989,1.2608,64.09,29,2,15.55,DZ,1684189338
63,sydney mines,46.2367,-60.2177,60.26,52,75,8.05,CA,1684189338
64,dzuunharaa,48.8523,106.4579,34.11,79,99,2.35,MN,1684189338
65,fale old settlement,-9.3852,-171.2468,83.52,75,8,8.79,TK,1684189339
66,vorgashor,67.5833,63.95,25.05,93,98,13.78,RU,1684189331
67,leshan,29.5623,103.7639,65.8,86,26,1.81,CN,1684189339
68,puerto natales,-51.7236,-72.4875,42.48,93,96,4.45,CL,1684189142
69,semirara,12.0697,121.3986,83.32,78,36,9.15,PH,1684189339
70,st. john's,47.5649,-52.7093,48.67,63,20,23.02,CA,1684189043
71,shahr-e babak,30.1165,55.1186,64.04,11,7,7.09,IR,1684189340
72,kirensk,57.7853,108.1119,34.34,85,100,5.06,RU,1684189340
73,xining,36.6167,101.7667,53.49,58,39,2.48,CN,1684189340
74,codrington,-38.2667,141.9667,53.64,71,100,15.5,AU,1684189340
75,barpeta,26.3167,91.0,69.31,92,22,10.69,IN,1684189341
76,deqen,29.9618,90.7188,43.05,64,90,2.48,CN,1684189341
77,arica,-18.475,-70.3042,71.15,68,0,11.5,CL,1684189065
78,praia da vitoria,38.7333,-27.0667,66.45,88,20,3.0,PT,1684189341
79,stanley,54.868,-1.6985,46.76,86,20,3.44,GB,1684189341
80,ocean shores,46.9737,-124.1563,68.95,85,0,19.57,US,1684189196
81,west island,-12.1568,96.8225,80.58,74,40,10.36,CC,1684189342
